id,title,category,summary,tags,related_services,updated_at
KB-001,VPN Connection Issues,connectivity,"Reset credentials and reinstall VPN client. Check firewall ports 1194/UDP and 443/TCP. If issue persists, try switching protocol from UDP to TCP in client settings.",vpn connection firewall protocol tunnel,vpn auth,2024-04-10
KB-002,Email Not Syncing,messaging,"Clear local cache, re-add account via IMAP settings. Ensure 2FA app password is used instead of account password. Verify SMTP/IMAP ports 587 and 993.",email sync imap smtp cache 2fa password,email auth,2024-04-15
KB-003,Billing Discrepancies,billing,"Compare last 3 invoices against plan changelog. Prorated charges apply on mid-cycle upgrades. Contact billing team for adjustments on disputed amounts over $50.",billing invoice refund charge prorate discount,billing,2024-04-20
KB-004,API Rate Limits and 429 Errors,api,"Implement exponential back-off with jitter. Upgrade to Enterprise plan for higher quota. Cache frequently requested resources client-side. Review API usage dashboard.",api rate limit 429 throttle quota backoff retry,api,2024-04-18
KB-005,Storage Quota Exceeded,storage,"Archive old files or purchase an add-on storage pack from the billing portal. Use storage analytics to identify large files. Enable automatic archival policies.",storage quota exceeded archive capacity add-on,storage,2024-04-12
KB-006,Account Login Failures,security,"Check CAPS LOCK; reset password if account is locked after 5 failed attempts. Enable passkeys for better security. Clear browser cookies and try incognito mode.",login password authentication locked account security 2fa,auth,2024-04-22
KB-007,Two-Factor Authentication Setup,security,"Install an authenticator app (Microsoft Authenticator or Google Authenticator). Scan QR code from Account Security settings. Save backup codes in a secure location.",2fa mfa authentication security otp qr code backup,auth,2024-04-25
KB-008,Slow API Response Times,api,"Check API status page for active incidents. Ensure requests use HTTP/2. Optimize payload size and enable compression. Use regional endpoints closest to your servers.",api slow latency performance timeout response,api,2024-04-19
KB-009,CDN Cache Invalidation,networking,"Use the dashboard Cache > Purge tool to invalidate stale content. Full purge may take up to 5 minutes. Prefix-based purge is available on Enterprise plans.",cdn cache purge invalidate refresh content,cdn,2024-04-08
KB-010,Webhook Delivery Failures,api,"Verify endpoint URL returns 2xx within 10 seconds. Check webhook secret signature validation. Use the webhook debugger in the developer portal to replay failed events.",webhook delivery failure timeout signature endpoint,webhook,2024-04-16
KB-011,Database Connection Pooling,data,"Set max pool size to 10x available CPU cores. Enable connection keep-alive. Use read replicas for read-heavy workloads. Monitor pool exhaustion via observability dashboard.",database connection pool replica performance,database,2024-04-11
KB-012,DNS Resolution Errors,networking,"Flush local DNS cache (ipconfig /flushdns on Windows, sudo dscacheutil -flushcache on macOS). Verify custom domain CNAME records. TTL changes may take up to 48 hours.",dns resolution cname domain propagation ttl,dns,2024-04-09
KB-013,Downgrading Your Plan,billing,"Downgrades take effect at the next billing cycle. Data over new plan limits must be reduced first. Export or archive excess data before the cycle ends to avoid suspension.",billing plan downgrade cancel subscription,billing,2024-04-21
KB-014,Monitoring Alert Fatigue,observability,"Tune alert thresholds using the last 30 days of baseline data. Group related alerts into composite rules. Use severity levels to route critical alerts to on-call teams.",monitoring alerts threshold observability on-call,monitoring,2024-04-14
KB-015,Enterprise SSO Configuration,security,"Configure SAML 2.0 or OIDC provider in Admin > SSO settings. Map group attributes for role-based access. Test SSO in sandbox mode before enabling for all users.",sso saml oidc enterprise single sign-on federation,auth,2024-04-23
